login_form,links_in_tags,iframe,popup_window,safe_anchor,onmouseover,right_clic,whois_registered_domain,domain_registration_length,domain_age,web_traffic,dns_record,google_index,page_rank,embedded_domain,having_ip_address,no_of_dots,no_of_sensitive_words,out_of_position_tld,https_token,url_length,tinyURL,prefixSuffix,count_special_chars,status
0,84.21052632,0,0,90.90909091,0,0,0,2202,8024,88431,0,0,5,-1,1,2,0,1,1,88,-1,-1,14,legitimate
0,40.0,0,0,75.0,0,0,0,946,5993,5488,0,0,7,1,1,2,0,1,1,122,-1,-1,21,legitimate
0,20.0,0,0,100.0,0,0,0,237,2684,188662,0,0,4,1,1,3,0,1,-1,53,-1,-1,8,legitimate
0,100.0,0,0,0.0,0,0,1,0,725,23941,0,1,1,1,1,6,0,1,1,46,-1,1,11,phishing
0,0.0,0,0,14.28571429,0,0,0,374,7295,0,0,1,5,1,1,2,0,1,-1,36,1,-1,5,phishing
0,53.84615385,0,0,10.0,0,0,0,264,3754,3847776,0,0,4,1,1,2,0,1,-1,31,-1,-1,6,legitimate
0,7.407407407000001,0,0,100.0,0,0,0,827,5381,299694,0,0,5,1,1,2,0,1,1,48,-1,-1,11,legitimate
0,45.45454545,0,0,40.0,0,0,0,275,3743,0,0,1,2,-1,1,2,0,1,1,101,-1,-1,14,phishing
0,0.0,0,0,0.0,0,0,0,62,5416,435027,0,0,3,1,1,3,0,1,-1,41,-1,-1,8,legitimate
0,0.0,0,0,0.0,0,0,0,290,1901,0,0,1,0,-1,1,4,1,1,-1,43,-1,-1,8,phishing
0,0.0,0,0,0.0,0,0,0,81,3937,0,0,0,2,-1,1,1,0,1,-1,15,-1,-1,4,legitimate
0,100.0,0,0,37.5,0,0,0,1001,6668,1677903,0,1,4,-1,1,3,0,1,-1,42,-1,-1,10,legitimate
1,50.0,0,0,42.7184466,0,0,0,3621,4413,225825,0,0,5,1,1,1,0,1,-1,51,-1,-1,9,legitimate
0,0.0,0,0,0.0,0,0,0,361,3983,0,0,1,0,-1,1,3,0,1,-1,48,-1,1,11,phishing
0,100.0,0,0,76.66666667,0,0,0,304,7732,81846,0,0,5,1,1,1,1,1,-1,49,-1,-1,8,legitimate
0,100.0,0,0,75.0,0,0,0,275,2647,0,0,0,1,1,1,1,0,1,1,25,-1,1,8,phishing
0,78.57142857,0,0,73.68421053,0,0,0,59,9285,121,0,0,7,-1,1,2,0,1,1,49,1,-1,10,legitimate
0,89.36170213,0,0,40.0,0,0,0,353,8047,1577,0,0,5,1,1,3,0,1,-1,48,-1,-1,8,legitimate
0,75.0,0,0,0.0,0,0,0,200,531,0,0,1,0,1,1,4,0,1,-1,108,-1,-1,15,phishing
0,0.0,0,0,0.0,0,0,0,0,1028,0,0,1,0,1,1,2,0,1,-1,39,-1,-1,7,phishing
0,83.33333333,0,0,65.71428571,0,0,0,145,5334,1137149,0,1,4,-1,1,4,0,-1,-1,80,-1,-1,13,legitimate
0,100.0,0,0,14.54545455,0,0,0,69,7602,2368410,0,1,4,1,1,2,0,1,-1,36,-1,-1,7,legitimate
0,34.48275862,0,0,13.04347826,0,0,0,161,6460,1119897,0,0,4,1,1,2,0,1,1,28,-1,1,7,legitimate
0,0.0,0,0,0.0,0,0,0,2430,1953,4365,0,1,3,-1,1,2,0,1,1,33,-1,-1,6,phishing
1,55.55555556,0,0,17.46031746,0,0,0,1156,-1,7600,0,0,4,-1,1,3,0,-1,1,23,1,-1,7,legitimate
0,50.0,0,0,19.16666667,0,0,0,984,5224,137,0,0,8,-1,1,2,0,1,1,77,-1,-1,12,legitimate
0,66.66666667,0,0,0.0,0,0,1,0,-1,1554194,0,1,2,-1,1,5,0,-1,1,342,-1,-1,37,phishing
0,100.0,0,0,0.0,0,0,0,177,189,0,0,1,2,1,1,2,0,1,1,38,-1,1,7,phishing
1,44.82758621,0,0,25.92592593,0,0,0,7,6203,38365,0,1,5,1,1,2,0,1,-1,73,-1,-1,12,legitimate
0,58.33333333,0,0,0.0,0,0,0,204,5639,2,0,0,10,1,1,2,0,1,1,33,-1,-1,7,legitimate
0,0.0,0,0,0.0,0,0,0,42,1785,7811868,0,1,2,1,1,3,0,1,-1,67,-1,-1,12,phishing
0,100.0,0,0,56.14035088,0,0,0,873,6431,15489,0,1,5,1,1,2,0,1,1,39,-1,-1,7,legitimate
0,97.5308642,0,0,46.66666667,0,0,0,302,2254,219358,0,0,4,1,1,2,0,1,1,24,-1,-1,6,legitimate
0,90.90909091,0,0,85.0,0,0,1,0,-1,543542,0,0,3,-1,1,2,0,1,1,26,-1,-1,6,legitimate
0,0.0,0,0,0.0,0,0,0,245,9253,21542,0,0,6,-1,1,2,0,1,1,39,-1,-1,9,legitimate
0,0.0,0,0,0.0,0,0,0,18,5825,0,0,1,0,-1,1,3,0,1,-1,62,-1,1,8,phishing
0,83.33333333,0,0,0.0,0,0,0,292,1899,507771,0,1,1,-1,1,2,0,1,-1,41,-1,-1,8,phishing
0,0.0,0,0,14.28571429,0,0,0,374,7295,0,0,1,5,1,1,2,0,1,1,40,1,-1,6,phishing
0,100.0,0,0,50.0,0,0,0,262,4120,632334,0,0,3,1,1,3,0,1,-1,51,-1,1,9,legitimate
0,100.0,0,0,95.0,0,0,0,366,3650,7053,0,1,5,-1,1,2,0,1,1,59,1,-1,11,legitimate
0,0.0,0,0,75.0,0,0,0,3483,8044,2580,0,0,6,1,1,3,0,1,1,50,-1,-1,9,legitimate
0,81.81818182,0,0,0.0,0,0,0,0,6831,0,1,1,0,-1,1,2,0,1,-1,52,-1,1,8,phishing
0,0.0,0,0,44.44444444,0,0,0,114,3904,0,0,1,0,1,1,2,0,1,-1,43,-1,-1,8,phishing
0,0.0,0,0,10.0,0,0,0,278,4183,0,0,1,3,1,1,3,0,1,-1,94,-1,-1,13,phishing
0,100.0,0,0,83.33333333,0,0,0,519,2403,62284,0,0,3,1,1,4,0,1,-1,60,-1,-1,9,legitimate
0,85.71428571,0,0,12.5,0,0,1,0,-1,1111694,0,0,2,-1,1,1,0,1,-1,18,-1,-1,4,legitimate
0,40.0,0,0,0.0,0,0,0,3353,7968,892,0,0,7,-1,1,2,0,1,1,204,1,-1,15,phishing
0,0.0,0,0,0.0,0,0,0,2975,8346,1,0,0,10,-1,1,7,0,1,1,94,1,-1,14,phishing
0,87.5,0,0,0.0,0,0,0,170,-1,0,0,1,0,1,1,4,0,-1,-1,41,-1,1,9,phishing
0,100.0,0,0,0.0,0,0,0,307,1154,0,0,1,0,-1,1,2,0,1,-1,19,-1,-1,6,phishing
0,0.0,0,0,0.0,0,0,0,44,3608,0,0,1,0,1,1,2,0,1,-1,35,-1,1,7,phishing
0,0.0,0,0,60.0,0,0,0,51,2870,0,0,1,2,1,1,3,0,-1,-1,63,-1,-1,10,phishing
0,0.0,0,0,0.0,0,0,0,237,5972,0,0,1,0,-1,1,2,0,1,-1,53,-1,-1,9,phishing
0,0.0,0,0,25.0,0,0,0,228,5616,0,0,1,5,1,1,4,2,1,-1,75,1,1,15,phishing
0,0.0,0,0,0.0,0,0,1,0,6381,0,0,1,3,-1,1,2,0,1,1,35,-1,-1,5,phishing
0,0.0,0,0,0.0,0,0,0,2974,8348,1,0,0,10,-1,1,4,0,1,1,210,-1,-1,37,phishing
0,100.0,0,0,43.47826087,0,0,0,1384,4825,128305,0,0,5,1,1,1,0,1,1,44,-1,-1,7,legitimate
0,0.0,0,0,0.0,0,0,0,343,4405,0,0,1,0,1,1,5,0,1,-1,150,-1,-1,12,phishing
0,0.0,0,0,0.0,0,0,0,161,570,0,0,1,2,1,1,3,0,1,-1,39,-1,-1,9,phishing
0,0.0,0,0,70.0,0,0,0,0,3381,6240092,0,1,2,-1,1,2,1,1,-1,64,-1,-1,13,phishing
0,0.0,0,0,0.0,0,0,0,433,4681,4701900,0,0,3,-1,1,4,0,1,1,106,-1,-1,18,phishing
0,85.71428571,0,0,100.0,0,0,0,0,-1,5496959,0,0,0,1,1,2,0,1,1,34,-1,-1,7,phishing
0,100.0,0,0,63.92694064,0,0,0,901,7133,12,0,0,7,-1,1,2,0,1,1,65,-1,-1,12,legitimate
0,0.0,0,0,70.0,0,0,0,266,2290,10725245,0,1,2,-1,1,3,0,1,-1,60,-1,-1,13,phishing
0,100.0,0,0,0.0,0,0,0,200,896,0,0,1,0,1,1,1,0,1,-1,25,-1,-1,6,phishing
0,72.22222222,0,0,11.94029851,0,0,0,1865,6901,11507,0,0,5,1,1,2,0,1,-1,39,-1,-1,7,legitimate
0,94.73684211,0,0,89.74358974,0,0,0,118,3899,207904,0,0,4,-1,1,3,0,1,-1,38,-1,1,9,legitimate
0,100.0,0,0,0.0,0,0,0,213,-2,9675493,0,1,0,-1,1,2,0,1,1,129,-1,-1,23,phishing
0,92.85714286,0,0,31.57894737,0,0,0,342,9224,18386,0,0,5,-1,1,2,0,1,1,52,-1,-1,10,legitimate
0,0.0,0,0,0.0,0,0,1,0,-1,0,1,1,0,-1,-1,3,0,1,-1,30,-1,-1,8,phishing
0,68.08510638,0,0,33.33333333,0,0,0,586,7449,0,0,0,8,-1,1,2,0,1,1,33,-1,-1,6,legitimate
0,40.0,0,0,0.0,0,0,0,2184,7287,0,0,0,4,-1,1,3,0,1,-1,118,-1,-1,15,legitimate
0,57.14285714,0,0,100.0,0,0,1,0,2625,8571696,0,0,2,-1,1,1,0,1,-1,27,-1,1,5,legitimate
0,0.0,0,0,0.0,0,0,0,495,11192,1465,0,0,6,-1,1,3,0,1,-1,78,-1,-1,16,legitimate
0,100.0,0,0,0.0,0,0,0,83,2839,0,0,1,2,1,1,2,0,1,-1,35,-1,1,7,phishing
0,98.07692308,0,0,96.0,0,0,1,0,-1,5497323,0,1,0,1,1,1,0,1,-1,32,-1,1,7,phishing
0,0.0,0,0,25.0,0,0,0,228,5615,0,0,1,5,1,1,5,0,1,-1,64,1,1,13,phishing
0,100.0,0,0,0.0,0,0,0,177,189,0,0,1,2,1,1,2,0,1,1,38,-1,1,7,phishing
0,46.66666667,0,0,100.0,0,0,0,1213,4996,179875,0,0,4,-1,1,3,0,-1,1,24,-1,-1,7,legitimate
0,62.5,0,0,93.33333333,0,0,0,127,3526,24047,0,0,5,-1,1,3,0,1,-1,68,-1,-1,9,legitimate
0,100.0,0,0,100.0,0,0,0,25,3993,5707171,0,1,0,1,1,4,1,-1,1,126,-1,1,19,phishing
0,100.0,0,0,72.46376812,0,0,0,905,7130,12,0,0,7,-1,1,2,0,1,1,41,-1,-1,8,legitimate
0,100.0,0,0,58.69565217,0,0,0,901,7134,13,0,0,7,-1,1,2,0,1,1,48,-1,-1,9,legitimate
0,50.0,0,0,25.0,0,0,0,114,3904,0,0,0,2,1,1,2,0,1,-1,29,-1,-1,6,legitimate
0,66.66666667,0,0,25.0,0,0,0,2864,2980,1168093,0,0,2,-1,1,2,0,1,1,24,-1,-1,6,legitimate
0,71.42857143,0,1,100.0,0,0,0,1703,7427,193,0,0,7,-1,1,3,0,1,1,50,-1,-1,10,legitimate
